"Source:","/Users/antonioglenn/Library/CloudStorage/GoogleDrive-aglenn5@cs.washington.edu/My Drive/ring-project/balsamic/hw/balsamic/balsamic.kicad_sch"
"Date:","Monday, October 30, 2023 at 11:54:05 AM"
"Tool:","Eeschema (6.0.7-1)-1"
"Generator:","/Applications/KiCad/KiCad.app/Contents/SharedSupport/plugins/bom_csv_grouped_by_value_with_fp.py"
"Component Count:","53"
"Ref","Qnty","Value","Cmp name","Footprint","Description","Vendor"
"BT1, ","1","GREPOW_Battery","GREPOW_Battery","footprints:balsamic_grepow_battery","Single-cell battery",""
"C1, C11, ","2","22uF","C_Small","Capacitor_SMD:C_0402_1005Metric","Unpolarized capacitor, small symbol",""
"C2, C7, ","2","4.7uF","C_Small","Capacitor_SMD:C_0402_1005Metric","Unpolarized capacitor, small symbol",""
"C3, ","1","1uF","C_Small","Capacitor_SMD:C_0402_1005Metric","Unpolarized capacitor, small symbol",""
"C4, ","1","3300pF","C_Small","Capacitor_SMD:C_0402_1005Metric","Unpolarized capacitor, small symbol",""
"C5, C8, C9, C12, C13, C15, C17, ","7","10uF","C_Small","Capacitor_SMD:C_0402_1005Metric","Unpolarized capacitor, small symbol",""
"C6, C14, ","2","100nF","C_Small","Capacitor_SMD:C_0201_0603Metric","Unpolarized capacitor, small symbol",""
"C10, ","1","10uF","C_Small","Capacitor_SMD:C_0402_1005Metric_Pad0.74x0.62mm_HandSolder","Unpolarized capacitor, small symbol",""
"C16, C18, ","2","100nf","C_Small","Capacitor_SMD:C_0201_0603Metric","Unpolarized capacitor, small symbol",""
"D1, D2, ","2","LED","LED","LED_SMD:LED_0402_1005Metric","Light emitting diode",""
"J2, ","1","AXT524124","AXT524124","footprints:PANASONIC_AXT524124","",""
"J3, ","1","USB_B_Micro","USB_B_Micro","Connector_USB:USB_Micro-B_GCT_USB3076-30-A","USB Micro Type B connector",""
"L1, ","1","1.5uH","L_Small","Inductor_SMD:L_0805_2012Metric","Inductor, small symbol",""
"R2, R3, R5, ","3","10K","R_Small","Resistor_SMD:R_0201_0603Metric","Resistor, small symbol",""
"R4, R6, ","2","220","R_Small","Resistor_SMD:R_0201_0603Metric","Resistor, small symbol",""
"R7, R8, ","2","4.7K","R_Small","Resistor_SMD:R_0201_0603Metric","Resistor, small symbol",""
"S1, ","1","B3U-1000P","B3U-1000P","footprints:SW_B3U-1000P","",""
"TP4, ","1","INT2","TestPoint","custom_testpoints:TestPoint_Pad_D0.5mm","test point",""
"TP5, ","1","INT1","TestPoint","custom_testpoints:TestPoint_Pad_D0.5mm","test point",""
"TP6, ","1","MISO","TestPoint","custom_testpoints:TestPoint_Pad_D0.5mm","test point",""
"TP7, ","1","MOSI","TestPoint","custom_testpoints:TestPoint_Pad_D0.5mm","test point",""
"TP8, ","1","CLK","TestPoint","custom_testpoints:TestPoint_Pad_D0.5mm","test point",""
"TP9, ","1","CS","TestPoint","custom_testpoints:TestPoint_Pad_D0.5mm","test point",""
"TP10, ","1","TX","TestPoint","custom_testpoints:TestPoint_Pad_D0.5mm","test point",""
"TP11, ","1","RX","TestPoint","custom_testpoints:TestPoint_Pad_D0.5mm","test point",""
"TP12, ","1","D3","TestPoint","custom_testpoints:TestPoint_Pad_D0.5mm","test point",""
"TP13, ","1","D2","TestPoint","custom_testpoints:TestPoint_Pad_D0.5mm","test point",""
"TP14, ","1","D1","TestPoint","custom_testpoints:TestPoint_Pad_D0.5mm","test point",""
"TP15, ","1","D0","TestPoint","custom_testpoints:TestPoint_Pad_D0.5mm","test point",""
"TP16, ","1","PCLK","TestPoint","custom_testpoints:TestPoint_Pad_D0.5mm","test point",""
"TP17, ","1","MCLK","TestPoint","custom_testpoints:TestPoint_Pad_D0.5mm","test point",""
"TP18, ","1","INT","TestPoint","custom_testpoints:TestPoint_Pad_D0.5mm","test point",""
"TP19, ","1","LVLD","TestPoint","custom_testpoints:TestPoint_Pad_D0.5mm","test point",""
"TP20, ","1","FVLD","TestPoint","custom_testpoints:TestPoint_Pad_D0.5mm","test point",""
"TP21, ","1","TRIG","TestPoint","custom_testpoints:TestPoint_Pad_D0.5mm","test point",""
"U1, ","1","BMI270","BMI270","footprints:XDCR_BMI270","",""
"U3, ","1","ISP1807-LR-RS","ISP1807-LR-RS-ISP1807","footprints:ISP1807-LR-RS","",""
"U4, ","1","MAX77650BEWV+T","MAX77650BEWV+T","footprints:21-100047A_W302H2&plus_1_MXM","",""
